Temperature (°C),RPM,Torque (Nm),Vibrations (mm/s),Power Output (MW),Fuel Flow Rate (kg/s),Air Pressure (kPa),Exhaust Gas Temperature (°C),Oil Temperature (°C),Fault
949.8194432986802,16303.541819393246,3492.2522958390296,1.8406110432023453,8540.412202362551,3.400408270037187,172.20416316825015,447.4510736488237,132.73403394889743,0.0
1013.5683398911164,15061.099670303009,3513.6546303482774,-0.6635259989426636,7933.95642650996,3.740199560620129,162.7817706817846,448.7328124213855,114.64548846739147,0.0
1020.5158452258552,15010.733767690408,3764.3814707656898,1.076000282907425,8475.919208653593,2.623277774443048,91.92703487862988,555.1855424121444,125.43739062564704,0.0
1064.8031647437524,15293.971728209224,3654.126967398156,2.97235594369088,8382.917179601145,2.733192537542966,-17.69240355891168,677.9249085252311,127.120463819564,1.0
931.8339693819364,14337.151241133875,3602.2211457456447,2.2122794262061145,7735.218147976501,1.240196044621633,141.88835470117604,403.8797530896145,119.13531893865697,0.0
1257.851769263078,15926.334186797094,3648.3350307410014,1.3413066907422635,8715.690438746977,2.3095073922428004,-145.68336171594828,828.2566346791677,114.94377286856226,1.0
861.9380805763108,15021.630069987015,3250.2245706769204,1.227777415924607,7261.300491053668,2.4705129159897363,183.15195080623013,471.896933568194,110.40921151323184,0.0
1142.3382971404285,15129.093862715545,3691.757320057351,3.600719953043519,8377.941452027226,2.299260407016935,-149.78831630051465,815.692874536656,111.16841950046496,1.0
935.832465561802,14505.33807040738,3364.3162358867457,0.0379795714301622,7184.660145947649,0.6473076125581039,144.82158952315535,485.0784785895845,90.56028720824324,0.0
839.9951165600413,15483.038696952804,3718.2370157309024,2.5388884085763466,8514.544963892673,2.9223613080107587,164.6374528801105,462.6837307335076,123.9655264917581,0.0
936.057394686792,16379.307176853506,3483.1166169794624,2.610137102971609,8557.655550346411,1.0754650876784024,118.81991536286178,454.86455026822085,144.4311273328834,0.0
951.198330422651,15461.409255457704,3610.990148546553,1.3572342779986075,8374.649475615639,3.667572364170692,127.02770146995172,493.2001197096359,125.710748313905,0.0
851.4795553384101,14645.643164624837,3484.3926573570147,4.863672635274382,7654.67572576346,2.184225143217954,143.73570601200583,516.8390397128753,135.42053411527544,1.0
1032.4471214267633,14389.541020185912,3333.9557079805263,3.3818576494179267,7196.113862920312,3.42407049375694,65.31394578651462,585.2052621097467,144.40461616749658,1.0
912.7478403778736,14997.341721002964,3213.342672656632,0.4436985098093737,7196.210390540124,1.7351487481251349,156.3178917947409,508.5036802974853,108.8291644397406,0.0
893.438174317225,14831.895412560338,3371.0595420777977,1.4549904245836538,7499.8803836417155,2.534208019023497,159.96442766844692,530.5200118551754,117.60060949397447,1.0
932.2450194843394,14583.173867795773,3276.288182569532,3.8123226891881288,7044.966396583501,2.059700298132444,120.24472752564915,494.29169602869706,119.5353641123634,0.0
954.851366918528,14864.528143182511,3536.4514722288764,4.404368455704631,7885.152365391803,2.846646415479904,191.4185640262254,508.8631718533482,136.78633668720155,0.0
1020.970424951418,15485.889676433866,3331.271194562617,1.7613408622088662,7738.154730191812,4.890905134409184,156.5741842198524,538.0636988796547,115.43484150435458,1.0
991.1641074720384,14654.177514767469,3149.75021545428,2.173046836114039,6833.543670036947,2.0775851487192387,132.82740732439095,548.7038699431934,123.45017712081555,0.0
903.4350834305748,14592.996322726944,3620.722143798608,1.8294746893950464,7790.842917938687,3.6353901900899777,116.4111874357602,508.6118660593588,121.76801758062658,0.0
863.285951459148,14493.01902086014,3454.9555444861,4.739700674392532,7510.910463369484,0.6872013283304939,153.1662460983137,519.0548363234606,144.5518845012727,1.0
930.7256224902152,15132.84363483158,3233.353188894774,3.1622336955110955,7339.474233559301,4.845663985756096,147.18042706059356,562.5331435869266,123.79187481424492,1.0
875.4965104965537,15743.441659505776,3960.637093259829,3.5826244640788856,9278.283981016946,3.7576627964264446,144.57825065206177,442.299218947714,113.53360426465284,0.0
896.444485018093,14694.122981195156,3670.201120644647,2.387131813232015,7976.304182942715,2.952955446427371,136.3861002380463,551.8035455461479,129.15517777845554,0.0
851.4337014471482,15562.863350053083,3711.446443000732,-0.141898584066055,8577.468972783952,1.297138073899579,169.51415367127598,517.1294477479138,112.054663755464,0.0
979.1402202567696,15423.978285727208,3590.996637324725,1.8014175190530255,8308.118123732396,2.3490068483774844,67.8904393828079,550.8668252666046,126.73067217376892,0.0
819.0627057993837,14741.498343486295,3602.7325039625016,1.9496321924072544,7966.451285878117,3.6451414836522527,132.84924467351897,485.8260482548107,132.61477658189995,0.0
905.8443474824898,15288.848202959116,3480.731400324086,2.987929841170046,7982.45610222424,2.866038073377397,132.13192373040263,520.7380848635805,128.0714274588533,0.0
898.5743414539993,14931.042151049229,3480.608338366387,1.6152086304442603,7612.175359630958,1.8462687480947613,127.72457348510883,531.2972496395693,111.77881610871424,0.0
766.2091788905801,15256.29699965678,3336.144709125434,3.851767055008592,7634.58217743768,1.059026827427806,156.48823614703696,522.6465352167124,122.98382802671998,1.0
956.8012419673644,14914.211724767149,3529.0309586551434,2.6031560137987206,7800.168348274965,3.523571969035387,144.44598104796134,509.91623289147066,124.37150044865967,0.0
912.4717710797734,15185.41830175978,3576.8873402855497,1.988040124631108,8066.004776354997,2.458947897239074,152.82939424842982,475.9502912446628,118.76804875700256,0.0
946.6533982636528,14813.113963491578,3506.438027241871,4.833068787533753,7791.189915518163,2.184377806448114,45.18913021449293,588.2504517142627,145.1494427069375,0.0
1078.6114337134125,15210.64172328117,3636.98761719648,1.1136459583277645,8298.13733957786,1.590901495024922,-2.1783279617074527,586.6512519908281,122.64177414111556,1.0
921.4799362864684,14453.33864750132,3832.5187725798096,2.8022892790079714,8184.270197641057,2.237477559081754,141.70532088827463,483.9827946566816,126.0675931331336,0.0
882.1917673286624,15016.944136122707,3942.613270393738,1.7307707345209304,8823.174631624779,2.0607103944910987,144.73420829166318,489.53796116361576,105.43542699035892,0.0
1007.5287425296766,14908.229266736127,3403.910849745004,-0.4602369087559816,7547.240991456167,1.7561784827394282,140.72610944964302,459.097229109867,133.08287135171528,0.0
936.3877320730556,14425.580491378443,3673.541792783217,2.465809109709595,7948.945923035544,4.124063810468127,113.00654389410884,534.1126979330305,141.44398324702303,0.0
