Model,Fold,F2_Score,F1_Score,Accuracy,Precision,Recall
SVM,1,0.880890452876377,0.8594341856060606,0.87175,0.8470686535658642,0.8874123422159887
SVM,2,0.8784767450770056,0.8593305344569941,0.871875,0.8469738184837505,0.8863925899953249
SVM,3,0.8738607643409665,0.8555588025104579,0.868375,0.8433654986935302,0.8826349929873774
SVM,4,0.8743776330907698,0.8560839555990192,0.868875,0.8438681727208801,0.8831083450210379
SVM,5,0.8714471768942006,0.8541393724710122,0.867125,0.8420103380630156,0.8809519635343619
SVM,6,0.8706850157607442,0.8571637911381325,0.870375,0.844980305518154,0.8821967040673212
SVM,7,0.8703632887189292,0.8516610444593113,0.864625,0.839644674284761,0.8792514025245441
SVM,8,0.8693648721296368,0.8551293870502698,0.868375,0.8429982189732763,0.8806363955119214
SVM,9,0.8745203376822717,0.8581245843493682,0.871,0.8458465665871028,0.8842040673211782
SVM,10,0.8726577437858508,0.8533046893960503,0.866125,0.8412147409635303,0.8810045582047685
SVM,11,0.8684492798038614,0.8520690165279253,0.86525,0.840031755326573,0.8787050023375409
SVM,12,0.8705151793928243,0.8541689152391836,0.86725,0.8420448111894576,0.8805984104721833
SVM,13,0.8788507336559883,0.8622376056895869,0.874875,0.8498098829267118,0.8880113370733989
SVM,14,0.8802330930838829,0.8612865915842576,0.87375,0.8488528158824189,0.8880843852267415
SVM,15,0.8760273446501268,0.8600589324584655,0.872875,0.847719963374196,0.8857848293595139
SVM,16,0.8723518575376114,0.856726078136262,0.86975,0.844512249663517,0.8826320710612436
SVM,17,0.873749331703964,0.8526967748235811,0.865375,0.8406539444744021,0.8811272791023843
SVM,18,0.8685464044253227,0.854931396589484,0.86825,0.8428198675552521,0.8802127162225339
SVM,19,0.8703958428855265,0.8508348220770758,0.86375,0.838866279624402,0.8788394109396915
SVM,20,0.8708789107320432,0.8521849747499504,0.865125,0.8401438931395862,0.8797247545582048
RandomForest,1,0.7979870596693026,0.8438011530265717,0.864625,0.8397572407429716,0.8483841748480598
RandomForest,2,0.7994862738802376,0.8498938695945008,0.87075,0.8477627069639971,0.8521563814866759
RandomForest,3,0.7937079731027857,0.8429197146172318,0.86425,0.8397165323287694,0.8464469378214119
RandomForest,4,0.8026916606584955,0.8501524291838569,0.870625,0.8471739675354866,0.8533982000935016
RandomForest,5,0.7833453786236249,0.8386283584769342,0.861125,0.8367352664239394,0.8406293828892006
RandomForest,6,0.7919403941676013,0.8424622113831333,0.864,0.8395827609165445,0.8455995792426367
RandomForest,7,0.790273556231003,0.8396190041077041,0.86125,0.8361374813106839,0.8434957924263675
RandomForest,8,0.788438378161381,0.842148565682107,0.864125,0.8401672107421985,0.8442467274427303
RandomForest,9,0.7941199968043461,0.8411715824584832,0.862375,0.8372190651794227,0.8456434081346424
RandomForest,10,0.8010232632504597,0.8468125505206812,0.867375,0.8430375401552094,0.8510431276297336
RandomForest,11,0.786579982342082,0.8404750591772756,0.862625,0.8383684040053718,0.8427156381486676
RandomForest,12,0.7953908938145154,0.8437261440902416,0.864875,0.8403574836936427,0.8474550023375409
RandomForest,13,0.8056112224448898,0.8529219313415304,0.873125,0.85018751830707,0.8558759934548854
RandomForest,14,0.8049250020052939,0.8530853286538667,0.873375,0.8506223111860493,0.8557240532959327
RandomForest,15,0.7972527913888666,0.8490207391048765,0.870125,0.8472090773169056,0.8509262505843853
RandomForest,16,0.80622009569378,0.848030221262817,0.868,0.843312806833338,0.853494623655914
RandomForest,17,0.7874899759422614,0.8402293622041679,0.86225,0.8377585896744019,0.8428880317905564
RandomForest,18,0.7832100353811515,0.8399301047526497,0.8625,0.8386176754692651,0.8412926601215521
RandomForest,19,0.7838422697763886,0.8370174364722489,0.859375,0.8343442485786676,0.8399164329125759
RandomForest,20,0.7971246006389776,0.8430965360099218,0.864,0.8390313390313391,0.8477092099111734
NeuralNetwork,1,0.8099334523616296,0.8688236480600381,0.88875,0.8722573691865092,0.8656439925198691
